CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
1.0,3.9,5.1,9.0,34.0,194.0,15.0,702.6,0.0,22.0,4.0,0.0,18.71,117.0,0.0,16.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.99,3.6,5.4,8.9,33.0,115.0,10.0,703.9,0.0,25.0,4.1,0.0,16.97,112.0,0.0,13.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.05,3.5,9.0,12.6,26.0,71.0,14.0,705.5,0.0,34.0,4.8,0.004,14.54,116.0,0.0,9.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.1,6.6,12.7,19.3,22.0,86.0,17.0,707.1,0.0,38.0,7.0,0.123,12.43,104.0,0.0,10.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.12,8.2,11.2,19.4,22.0,93.0,16.0,708.5,0.0,40.0,7.9,0.283,10.76,109.0,0.0,12.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.09,9.3,9.6,18.9,22.0,85.0,14.0,709.7,0.0,40.0,7.8,0.417,10.0,110.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.11,8.9,9.9,18.9,24.0,68.0,15.0,709.8,0.0,36.0,7.4,0.511,11.2,104.0,0.0,9.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.12,8.2,10.3,18.4,26.0,82.0,14.0,709.4,0.0,33.0,6.6,0.55,12.13,93.0,0.0,9.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.14,8.3,9.5,17.7,29.0,67.0,14.0,708.9,0.0,31.0,5.9,0.531,12.69,101.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.14,6.7,9.7,16.4,32.0,62.0,13.0,708.7,0.0,30.0,4.8,0.464,13.39,101.0,0.0,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.16,7.3,11.1,18.3,31.0,49.0,12.0,708.7,0.0,28.0,5.5,0.348,13.51,97.0,0.0,11.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.16,5.9,11.9,17.8,29.0,50.0,13.0,709.0,0.0,28.0,6.8,0.182,12.79,110.0,0.0,10.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.17,4.6,14.1,18.7,26.0,47.0,12.0,709.7,0.0,29.0,6.5,0.011,11.36,114.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.2,4.2,15.6,19.7,24.0,49.0,13.0,710.3,0.0,28.0,5.3,0.0,10.53,120.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.24,4.4,19.2,23.6,20.0,51.0,14.0,711.0,0.0,28.0,5.9,0.0,9.78,125.0,0.0,12.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.21,4.7,19.1,23.8,21.0,52.0,11.0,711.4,0.0,26.0,6.5,0.0,8.72,112.0,0.0,10.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.22,5.0,20.4,25.4,20.0,42.0,13.0,711.4,0.0,27.0,7.9,0.0,8.43,125.0,0.0,9.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.24,5.5,22.2,27.6,19.0,38.0,12.0,711.4,0.0,26.0,6.1,0.0,7.86,106.0,0.0,7.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.19,3.7,18.0,21.7,21.0,38.0,10.0,711.4,0.0,28.0,5.4,0.0,7.33,153.0,0.0,2.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.15,3.3,14.5,17.8,24.0,35.0,9.0,711.4,0.0,30.0,5.3,0.0,7.54,149.0,0.0,7.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.05,2.9,6.7,9.6,31.0,38.0,7.0,711.4,0.0,32.0,3.4,0.0,6.98,124.0,0.0,7.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.03,2.7,5.3,7.9,32.0,29.0,6.0,711.4,0.0,33.0,3.2,0.0,6.38,132.0,0.0,7.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.02,2.6,4.7,7.3,31.0,27.0,6.0,711.4,0.0,35.0,3.1,0.0,5.7,131.0,0.0,4.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.12,3.3,17.5,20.8,15.0,22.0,11.0,711.2,0.0,39.0,3.8,0.0,5.1504,344.0,0.0,2.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.25,12.6,27.5,40.2,5.0,38.0,16.0,711.3,0.0,40.0,4.9,0.0,5.1504,308.0,0.0,4.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.39,34.8,32.0,66.8,4.0,42.0,16.0,711.4,0.0,38.0,8.9,0.0,5.1504,328.0,0.0,3.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.13,31.092041412194895,34.7,60.32229488386565,4.0,57.0,38.0,711.4,0.0,24.0,8.3,0.003,5.1504,345.0,0.0,3.1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.71,31.969495181982783,32.8,97.1,8.0,128.0,29.0,711.4,0.0,13.0,9.947310822029294,0.129,6.13,292.0,0.0,2.1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1.46,25.4,27.9,53.3,17.0,76.0,20.0,711.4,0.0,22.0,7.0,0.283,8.36,68.0,0.0,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.41,21.5,24.2,45.7,22.0,58.0,18.0,711.4,0.0,21.0,4.4,0.417,9.54,74.0,0.0,3.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.3,15.6,16.3,31.9,28.0,41.0,13.0,711.4,0.0,24.0,4.2,0.511,10.3,107.0,0.0,7.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.24,12.6,17.2,29.8,32.0,41.0,15.0,710.7,0.0,24.0,5.6,0.55,11.02,105.0,0.0,9.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.21,9.8,14.7,24.6,36.0,41.0,13.0,709.5,0.0,25.0,4.9,0.532,11.84,108.0,0.0,8.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.2,7.6,13.5,21.2,38.0,22.182123277980768,13.0,708.5,0.0,26.0,4.6,0.46,12.92,115.0,0.0,9.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1.18,6.9,13.4,20.3,39.0,39.0,12.0,707.8,0.0,25.0,4.1,0.345,13.78,102.0,0.0,10.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.18,7.1,13.8,20.9,38.0,34.0,11.0,707.9,0.0,7.0,3.9,0.183,13.72,93.0,0.0,11.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.24,6.8,20.1,26.9,29.0,42.0,10.0,707.9,0.0,7.0,4.2,0.011,12.65,110.0,0.0,10.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.29,6.9,20.1,27.1,26.0,35.0,9.0,708.0,0.0,24.0,3.4,0.0,11.86,146.0,0.0,7.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.37,9.2,25.2,34.3,19.0,29.0,11.0,708.4,0.0,27.0,3.9,0.0,11.07,151.0,0.0,6.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.32,6.8,22.8,29.6,20.0,37.0,11.0,708.4,0.0,11.0,3.9,0.0,10.48,154.0,0.0,6.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.21,4.7,14.7,19.4,27.0,34.0,8.0,708.3,0.0,14.0,3.3,0.0,9.88,173.0,0.0,6.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.26,6.2,23.7,29.9,17.0,32.0,13.0,707.8,0.0,8.0,3.6,0.0,9.31,184.0,0.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.32,6.5,27.2,33.7,12.0,47.0,21.0,707.4,0.0,9.0,5.6,0.0,8.59,284.0,0.0,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.35,25.0,31.6,56.5,7.0,42.0,25.0,707.0,0.0,11.0,5.1,0.0,7.6,315.0,0.0,3.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.38,32.1,35.5,67.7,4.0,59.0,28.0,706.5,0.0,10.0,5.3,0.0,6.99,329.0,0.0,2.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.42,45.5,34.8,80.3,3.0,76.0,31.0,706.0,0.0,9.0,5.6,0.0,6.33,18.0,0.0,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.43,34.0,33.1,67.1,4.0,85.0,35.0,705.9,0.0,9.0,5.3,0.0,5.89,310.0,0.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.28,17.3,32.3,49.6,3.0,77.0,24.0,706.1,0.0,11.0,5.8,0.0,5.78,23.0,0.0,1.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.49,51.8,33.3,85.2,4.0,64.0,31.0,706.2,0.0,10.0,6.8,0.0,5.67,298.0,0.0,2.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.92,59.00617318066824,37.5,117.6,4.0,83.0,42.0,706.0,0.0,9.0,7.790479871376787,0.0,5.41,275.0,0.0,2.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
2.28,43.37555970920815,36.4,118.30017394300076,4.0,107.0,49.0,705.6,0.0,8.0,7.283788130844292,0.003,5.91,292.0,0.0,2.0,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
2.34,41.10563416714018,37.2,103.79337274818936,6.0,126.0,53.0,706.3,0.0,7.0,8.381705323030518,0.115,8.77,35.0,0.0,1.7,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1.71,32.1,31.2,63.2,14.0,119.0,37.0,706.3,0.0,7.0,8.3,0.267,11.53,66.0,0.0,1.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.53,22.0,24.5,46.5,20.0,80.0,29.0,706.0,0.0,7.0,5.8,0.399,13.78,96.0,0.0,2.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.59,22.1,31.7,53.8,25.0,81.0,37.0,705.1,0.0,22.0,6.8,0.489,15.69,117.0,0.0,3.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.58,20.4,33.1,53.5,29.0,88.0,43.0,704.0,0.0,20.0,6.4,0.53,16.87,103.0,0.0,5.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.6,17.9,35.3,53.2,32.0,79.0,51.0,703.1,0.0,23.0,7.0,0.511,18.42,109.0,0.0,5.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.7,17.2,39.4,56.7,36.0,77.0,64.0,702.3,0.0,13.0,7.8,0.446,20.35,118.0,0.0,3.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.74,14.0,43.5,57.5,39.0,84.0,67.0,702.0,0.0,20.0,6.9,0.333,21.03,108.0,0.0,5.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.8,12.1,46.3,58.4,37.0,91.0,63.0,702.0,0.0,11.0,6.6,0.173,20.22,125.0,0.0,6.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.22,26.9,54.322000000000116,89.6,15.0,96.0,63.0,702.0,0.0,25.0,6.0,0.013,18.5,171.0,0.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
