CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
0.4,2.7,3.4,6.1,38.0,121.0,12.7,723.5,0.0,21.0,3.3,0.0,20.6,109.0,0.0,7.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.4,2.6,4.7,7.4,35.0,128.0,10.64,724.8,0.0,25.0,2.8,0.0,18.72,298.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.43,2.6,5.7,8.3,31.0,109.0,14.6,726.3,0.0,35.0,2.7,0.0,15.72,346.0,0.0,11.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.44,2.7,6.5,9.3,31.0,84.15783838397547,12.74,727.9,0.0,38.0,2.7,8.333333231278118e-05,12.73,35.0,0.0,11.1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
0.44,3.5,6.1,9.6,29.0,122.0,9.8,729.4,0.0,40.0,3.1,0.0001666666657958245,10.86,29.0,0.0,13.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.2,5.4,9.6,27.0,86.0,8.12,731.1,0.0,41.0,4.5,0.00024999999933329633,9.61,31.0,0.0,13.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.1,5.1,9.3,28.0,67.0,8.53,732.0,0.0,37.0,5.7,0.00033333333291242273,10.58,25.0,0.0,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.44,4.1,5.2,9.4,30.0,73.0,7.99,732.1,0.0,33.0,5.1,0.0004166666665197297,11.96,18.0,0.0,9.7,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.45,4.3,5.6,9.8,31.0,61.0,7.63,731.6,0.0,32.0,4.7,0.000500000000141112,12.75,23.0,0.0,11.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.8,5.3,9.2,34.0,56.0,7.0,731.1,0.0,30.0,3.6,0.0005833333337619607,13.6,39.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.9,5.9,9.9,35.0,42.0,7.05,730.7,0.0,29.0,3.8,0.0006666666673671995,14.34,25.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.8,5.9,9.7,35.0,41.0,6.46,730.9,0.0,28.0,4.0,0.0007500000009413067,14.07,23.0,0.0,11.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.46,3.7,7.1,10.9,34.0,38.0,6.63,731.2,0.0,27.0,4.2,0.0008333333344682642,13.75,21.0,0.0,11.4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.47,3.2,9.1,12.2,32.0,43.0,7.16,731.7,0.0,27.0,4.3,0.0009166666679315462,12.71,14.0,0.0,8.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.5,3.1,12.2,15.2,29.0,43.0,7.39,732.3,0.0,27.0,4.8,0.001,11.54,23.0,0.0,9.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.51,3.0,13.2,16.1,29.0,43.0,7.67,733.0,0.0,25.0,4.6,0.0,10.55,41.0,0.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.52,3.0,13.1,16.0,30.0,35.0,7.01,733.0,0.0,24.0,3.5,0.0,10.03,64.0,0.0,6.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.61,5.0,21.1,26.0,19.0,25.0,6.07,733.0,0.0,27.0,3.3,0.0,8.97,275.0,0.0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.59,4.7,21.3,26.0,18.0,24.0,6.4,733.0,0.0,28.0,3.8,0.0,8.68,299.0,0.0,6.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.59,3.6,22.2,25.8,17.0,29.0,6.3,733.0,0.0,30.0,3.3,0.0,8.51,136.0,0.0,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.5,2.5,15.5,18.0,24.0,28.0,5.16,733.0,0.0,27.0,3.1,0.0,8.23,49.0,0.0,4.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.56,3.4,19.0,22.3,17.0,17.0,6.51,733.0,0.0,33.0,3.0,0.0,7.21,174.0,0.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.62,5.2,20.5,25.6,12.0,23.0,6.72,733.0,0.0,37.0,2.9,0.0,6.46,228.0,0.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.57,3.1,17.9,21.0,14.0,15.0,7.5,733.0,0.0,37.0,3.0,0.0,6.07,190.0,0.0,3.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.56,5.8,21.6,27.3,10.0,26.0,12.1,732.9,0.0,38.0,3.2,0.0,5.91,211.0,0.0,4.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.72,14.3,25.2,39.5,5.0,40.0,12.06,732.9,0.0,43.0,3.3,0.0,5.551,201.0,0.0,3.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.84,14.242210818717982,27.2,59.3,4.0,37.0,11.37,733.0,0.0,44.0,3.5,0.0,5.551,177.0,0.0,4.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.02,14.66928160938133,29.8,69.5,5.0,44.0,10.4,733.0,0.0,41.0,4.9,8.33333328354847e-05,5.551,151.0,0.0,3.7,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.56,5.8,14.1,19.8,27.0,39.0,5.42,733.0,0.0,31.0,3.4,0.00016666666624645676,7.8,89.0,0.0,6.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.6,6.7,11.9,18.4,31.0,22.0,6.31,733.0,0.0,30.0,3.5,0.0002499999996857833,8.42,87.0,0.0,9.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.56,6.3,9.0,15.2,35.0,35.0,6.01,733.0,0.0,30.0,2.9,0.0003333333331461427,9.47,82.0,0.0,10.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.5,5.2,7.0,12.1,39.0,27.0,8.18,733.0,0.0,27.0,3.0,0.0004166666666201911,10.85,82.0,0.0,15.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.53,4.6,6.6,11.2,40.0,29.0,13.78,732.7,0.0,27.0,3.0,0.0005000000001004169,12.24,91.0,0.0,16.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.58,5.1,7.6,12.7,40.0,36.0,15.01,731.2,0.0,26.0,2.9,0.000583333333579151,13.52,102.0,0.0,18.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.56,4.3,6.9,11.3,43.0,51.0,15.47,730.3,0.0,25.0,3.0,0.0006666666670485665,14.25,100.0,0.0,19.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.57,4.5,7.5,11.9,43.0,45.0,13.28,729.8,0.0,24.0,3.0,0.0007500000005006937,14.81,103.0,0.0,19.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.55,4.1,7.5,11.6,40.0,43.0,9.71,729.8,0.0,23.0,3.1000001912914983,0.0008333333339274021,14.84,101.0,0.0,19.5,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
0.57,3.9,10.0,13.9,37.0,28.0,8.4,729.6,0.0,24.0,2.9,0.0009166666673204923,14.11,100.0,0.0,19.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.54,3.6,9.7,13.3,36.0,31.0,8.76,729.5,0.0,25.0,2.8,0.001,13.08,96.0,0.0,18.79933804487079,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
0.49,3.6,8.3,11.8,36.0,31.0,4.84,730.0,0.0,24.0,2.7,0.0,12.46,103.0,0.0,18.300329096877398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
0.44,3.1,6.5,9.6,38.0,23.0,4.26,729.9,0.0,24.0,2.7,0.0,12.19,107.0,0.0,17.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.49,3.6,13.3,16.9,29.0,12.0,3.97,729.8,0.0,26.0,2.9,0.0,11.38,171.0,0.0,8.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.53,3.6,16.5,20.0,26.0,10.0,4.47,729.2,0.0,27.0,2.9,0.0,10.83,151.0,0.0,7.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.44,2.4,7.0,9.3,35.0,20.0,5.81,728.8,0.0,29.0,2.949999671622653,0.0,10.17,112.0,0.0,10.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.53,2.7,15.1,17.7,23.0,12.0,6.12,728.4,0.0,34.0,2.8666679425869077,0.0,8.99,208.0,0.0,4.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.59,3.6,22.0,25.6,13.0,17.0,6.93,727.9,0.0,39.0,2.8,0.0,7.91,253.0,0.0,4.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.52,2.4,12.8,15.1,24.0,15.0,6.3,727.3,0.0,44.0,2.9,0.0,7.54,46.0,0.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.57,2.4,14.1,16.5,20.0,18.0,9.14,727.3,0.0,49.0,3.1,0.0,6.81,51.0,0.0,3.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.58,3.2,20.0,23.1,13.0,20.0,15.53,727.4,0.0,53.0,3.6,0.0,6.27,275.0,0.0,5.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
